"license_type","age_group","nationality","gender","licenses_num"
"Registration","30-40","استراليا","FEMALE","1"
"Registration","20-30","افغانستان","MALE","1"
"Registration","40-60","الامارات","MALE","1"
"Registration","40-60","الامارات","MALE","2"
"Registration","40-60","الامارات","MALE","1"
"Transfer of Ownership","30-40","الجزائر","MALE","1"
"Registration","30-40","الصين","FEMALE","1"
"Registration","20-30","الصين","FEMALE","1"
"Registration","40-60","العراق","MALE","1"
"Registration","40-60","الفلبين","FEMALE","2"
"Registration","30-40","الفلبين","FEMALE","1"
"Registration","20-30","الفلبين","FEMALE","1"
"Registration","30-40","الفلبين","MALE","2"
"Registration","30-40","الفلبين","MALE","1"
"Registration","40-60","المانيا","MALE","1"
"Registration","20-30","المغرب","MALE","1"
"Registration","30-40","المملكه المتحدة","FEMALE","1"
"Registration","40-60","المملكه المتحدة","MALE","1"
"Registration","30-40","المملكه المتحدة","MALE","1"
"Registration","30-40","الهند","FEMALE","1"
"Registration","40-60","الهند","MALE","1"
"Registration","40-60","الهند","MALE","1"
"Registration","40-60","الهند","MALE","1"
"Registration","30-40","الهند","MALE","1"
"Registration","30-40","الهند","MALE","3"
"Registration","30-40","الهند","MALE","1"
"Registration","30-40","الهند","MALE","1"
"Registration","30-40","الهند","MALE","1"
"Registration","20-30","الهند","MALE","1"
"Registration","30-40","اوغنده","MALE","1"
"Registration","20-30","اوكرانيا","MALE","1"
"Registration","40-60","ايران","FEMALE","1"
"Registration","30-40","باكستان","FEMALE","1"
"Registration","30-40","باكستان","FEMALE","1"
"Registration","40-60","باكستان","MALE","1"
"Registration","40-60","باكستان","MALE","1"
"Registration","40-60","باكستان","MALE","1"
"Registration","40-60","باكستان","MALE","1"
"Registration","30-40","باكستان","MALE","4"
"Registration","30-40","باكستان","MALE","2"
"Registration","30-40","باكستان","MALE","1"
"Registration","30-40","باكستان","MALE","1"
"Registration","30-40","باكستان","MALE","1"
"Registration","30-40","باكستان","MALE","2"
"Registration","30-40","باكستان","MALE","1"
"Registration","20-30","باكستان","MALE","1"
"Registration","20-30","باكستان","MALE","1"
"Registration","20-30","باكستان","MALE","1"
"Registration","20-30","باكستان","MALE","1"
"Registration","30-40","بنغلاديش","MALE","1"
"Registration","30-40","بنغلاديش","MALE","1"
"Registration","30-40","بنغلاديش","MALE","1"
"Registration","20-30","بنغلاديش","MALE","1"
"Registration","40-60","تركيا","MALE","1"
"Registration","40-60","دومينيكا","FEMALE","1"
"Registration","40-60","دومينيكا","MALE","2"
"Registration","30-40","روسيا","FEMALE","1"
"Registration","40-60","روسيا","MALE","2"
"Registration","40-60","روسيا","MALE","1"
"Registration","30-40","روسيا","MALE","1"
"Registration","20-30","روسيا","MALE","1"
"Registration","20-30","روسيا","MALE","1"
"Registration","20-30","روسيا","MALE","1"
"Registration","40-60","رومانيا","MALE","1"
"Registration","40-60","سانت كيتس ونيفيس","FEMALE","1"
"Registration","20-30","سوريا","MALE","1"
"Registration","40-60","سويسرا","MALE","2"
"Registration","30-40","سويسرا","MALE","2"
"Registration","30-40","سيريلانكا","MALE","1"
"Registration","40-60","فرنسا","MALE","1"
"Registration","30-40","فرنسا","MALE","1"
"Registration","40-60","كندا","MALE","1"
"Registration","30-40","كندا","MALE","2"
"Registration","40-60","كوريا الجنوبيه","MALE","1"
"Registration","30-40","اثيوبيا","MALE","1"
"Registration","20-30","اثيوبيا","MALE","1"
"Registration","20-30","افغانستان","MALE","1"
"Registration","30-40","الاردن","FEMALE","1"
"Registration","40-60","الامارات","MALE","1"
"Registration","40-60","الامارات","MALE","2"
"Registration","30-40","الامارات","MALE","2"
"Transfer of Ownership","30-40","الامارات","MALE","1"
"Registration","20-30","الصين","FEMALE","1"
"Transfer of Ownership","30-40","الصين","MALE","1"
"Registration","20-30","الصين","MALE","1"
"Registration","40-60","العراق","MALE","1"
"Registration","20-30","العراق","MALE","1"
"Registration","20-30","الفلبين","FEMALE","1"
"Registration","40-60","الفلبين","MALE","1"
"Registration","30-40","المغرب","FEMALE","1"
"Registration","30-40","المغرب","MALE","1"
"Registration","20-30","المملكه المتحدة","FEMALE","1"
